TaskID,ResourceID,EstimatedTime
REQ1,SGK,42.86640691497765
REQ2,SGK,46.735523367828854
REQ3,SGK,27.3992347026681
REQ4,SGK,56.06216293261148
DES1,SGK,42.85839001320935
DES2,SGK,25.941990060824075
DES3,GEO,421.27116469874665
DES4,SGK,46.979058884205664
DES5,GEO,154.68689221998062
DES6,SGK,28.168606974613056
DEV1,TDS,45.50868610641107
DEV1,FLD,57.68801428686204
DEV1,XDI,91.78054419181187
DEV2,TDS,23.08213082717513
DEV2,FLD,33.013556888055525
DEV2,XDI,56.376980320561216
DEV3,TDS,71.50399769487773
DEV3,FLD,85.51112268537865
DEV3,XDI,121.73533955529685
DEV4,TDS,161.82653207755845
DEV4,FLD,192.65342436753798
DEV4,XDI,258.13297486556314
DEV5,TDS,76.68532218431744
DEV5,FLD,98.53693375801271
DEV5,XDI,132.5062775405948
DEV6,TDS,52.534665693968535
DEV6,FLD,60.7328415140551
DEV6,XDI,98.732932294811
DEV7,TDS,60.78587322497784
DEV7,FLD,80.28371162805153
DEV7,XDI,97.14916225822553
DEV8,TDS,47.540242325396626
DEV8,FLD,59.147852479759514
DEV8,XDI,92.81878492852495
DEV9,TDS,41.42987702756003
DEV9,FLD,59.70665365077484
DEV9,XDI,84.11569423256664
DEV10,SGI,309.6452593373478
DEV10,JMK,366.42489872106603
DEV10,JIG,449.77420856207056
DEV11,TDS,107.83718444202498
DEV11,FLD,121.7850477431249
DEV11,XDI,164.96561991880412
DEV12,TDS,108.24275012235644
DEV12,FLD,125.59369400753367
DEV12,XDI,152.93304501839683
DEV13,TDS,411.7442447782509
DEV13,FLD,506.78378327845434
DEV13,XDI,111.75845311783985
DEV14,SGI,351.27652882891624
DEV14,JMK,378.7629533874249
DEV14,JIG,441.02787657481895
DEV15,SGI,259.31268537535385
DEV15,JMK,281.60811257946307
DEV15,JIG,321.3117843758294
DEV16,TDS,118.86149404761275
DEV16,FLD,134.01421556001242
DEV16,XDI,197.5838483709779
DEV17,TDS,120.17771630277836
DEV17,FLD,130.056032501599
DEV17,XDI,163.80485203965037
DEV18,SGK,111.90647861334216
DEV19,TDS,101.93709508649862
DEV19,FLD,123.70249197044242
DEV19,XDI,139.1000787273434
DEV20,SGK,31.551665843200396
TES1,SGI,173.20506782453262
TES1,JMK,186.44294648742215
TES1,JIG,268.49872840190744
TES2,SGI,178.1481244531957
TES2,JMK,179.00707880956105
TES2,JIG,252.7516287836159
TES3,SGI,175.4314694022681
TES3,JMK,184.01296805831785
TES3,JIG,229.24794067536212
TES4,TDS,105.42354874218474
TES4,FLD,159.23878911848308
TES4,XDI,111.75845311783985
TES5,SGI,111.58152737606285
TES5,JMK,186.55202708583545
TES5,JIG,230.61027909574736
TES6,TDS,85.48730145069737
TES6,FLD,111.98737797729555
TES6,XDI,167.1178718730178
TES7,SGK,87.17110003121992
REL1,TDS,47.03925906142722
REL1,FLD,62.51983757556417
REL1,XDI,106.56733937384055
REL2,SGK,76.8290682951863
REL3,SGK,87.68971897576185
REL4,TDS,143.00128321993347
REL4,FLD,198.37662602533936
REL4,XDI,260.3455513977122
REL5,SGK,54.179303746926514
