day,assignment_id,resource_id,task_id,project_id,estimated_time
12,4,TDS,DEV3,6,1:12:00
12,5,TDS,DEV4,6,2:42:00
12,6,TDS,DEV6,6,0:53:00
12,7,SGI,DEV10,6,5:10:00
12,8,TDS,DEV11,6,1:48:00
12,9,SGK,DEV18,6,1:52:00
12,10,FLD,DEV19,6,2:04:00
12,11,SGK,DEV20,6,0:32:00
12,12,JMK,TES1,6,3:06:00
12,13,JMK,TES3,6,3:04:00
12,14,FLD,TES6,6,1:52:00
12,15,SGK,TES7,6,1:27:00
12,16,FLD,REL1,6,1:03:00
12,17,SGK,REL5,6,0:54:00
